"X1....c.ngold..nfail.","X2....c.rep..1...600...rep..2...600.."
0.24833,"1"
0.41236,"1"
-0.046987,"1"
0.73569,"1"
0.22344,"1"
0.29282,"1"
0.031779,"1"
0.48427,"1"
0.52847,"1"
0.29684,"1"
0.4452,"1"
0.51342,"1"
0.59754,"1"
0.36869,"1"
0.55281,"1"
0.81632,"1"
0.51132,"1"
0.12022,"1"
0.57776,"1"
0.73989,"1"
-0.064105,"1"
0.26885,"1"
0.1988,"1"
0.68438,"1"
0.20562,"2"
0.30758,"2"
0.033657,"2"
0.28533,"2"
0.30536,"2"
-0.066532,"2"
0.40364,"2"
-0.037696,"2"
0.038321,"2"
0.39754,"2"
0.13903,"2"
0.34325,"2"
-0.036902,"2"
0.20585,"2"
-0.011794,"2"
0.35252,"2"
0.1527,"2"
0.17904,"2"
0.0098155,"2"
-0.062052,"2"
0.4063,"2"
0.14296,"2"
0.21042,"2"
0.12836,"2"
-0.0049232,"2"
0.0032806,"2"
0.19203,"2"
0.071016,"2"
0.45747,"2"
0.18033,"2"
0.13433,"2"
0.36815,"2"
-0.024574,"2"
0.2678,"2"
0.014003,"2"
-0.040903,"2"
0.074049,"2"
0.061139,"2"
0.20411,"2"
-0.027662,"2"
0.0076783,"2"
0.15365,"2"
0.47174,"2"
0.0583,"2"
0.095007,"2"
-0.094379,"2"
0.085566,"2"
0.074302,"2"
-0.026648,"2"
0.089347,"2"
0.021878,"2"
-0.053257,"2"
0.039104,"2"
0.019796,"2"
0.11053,"2"
0.0971,"2"
0.024319,"2"
0.35671,"2"
-0.0073731,"2"
0.64612,"2"
0.21636,"2"
-0.055045,"2"
-0.10684,"2"
0.5751,"2"
0.034515,"2"
0.14491,"2"
0.090787,"2"
0.32475,"2"
-0.050169,"2"
0.064827,"2"
0.1591,"2"
0.061754,"2"
0.33397,"2"
0.49767,"2"
0.098363,"2"
-0.019071,"2"
0.09148,"2"
0.09407,"2"
-0.06295,"2"
0.18623,"2"
0.17999,"2"
0.03729,"2"
-0.031045,"2"
-0.029122,"2"
0.13754,"2"
0.06876,"2"
0.16037,"2"
0.013847,"2"
0.043935,"2"
0.10284,"2"
-0.0084105,"2"
0.42728,"2"
0.12086,"2"
0.32458,"2"
0.22465,"2"
0.42659,"2"
0.13467,"2"
-0.13347,"2"
0.45518,"2"
0.024042,"2"
0.53353,"2"
-0.013064,"2"
0.060373,"2"
-0.010704,"2"
0.010588,"2"
0.35413,"2"
-0.044472,"2"
0.009521,"2"
0.042658,"2"
0.014069,"2"
-0.049355,"2"
0.23375,"2"
0.14031,"2"
-0.076814,"2"
0.28639,"2"
0.74704,"2"
-0.041808,"2"
0.31113,"2"
-0.014544,"2"
0.46894,"2"
0.24717,"2"
0.13148,"2"
0.086197,"2"
0.050626,"2"
0.3939,"2"
-0.074979,"2"
0.17659,"2"
0.38302,"2"
0.025799,"2"
-0.031488,"2"
0.014106,"2"
0.63377,"2"
0.19027,"2"
0.39352,"2"
-0.053705,"2"
-0.092286,"2"
0.10402,"2"
-0.0039244,"2"
0.13271,"2"
0.027836,"2"
0.20529,"2"
0.046364,"2"
0.13072,"2"
0.19906,"2"
0.34496,"2"
0.16094,"2"
0.16362,"2"
0.1794,"2"
0.19077,"2"
-0.063038,"2"
0.0068517,"2"
-0.062093,"2"
0.54813,"2"
0.20092,"2"
0.42257,"2"
0.056556,"2"
-0.16323,"2"
0.21959,"2"
-0.049531,"2"
0.20496,"2"
0.30334,"2"
0.13925,"2"
0.11725,"2"
0.10055,"2"
0.13191,"2"
0.031196,"2"
0.2993,"2"
-0.011324,"2"
0.59987,"2"
0.16119,"2"
0.095238,"2"
0.1905,"2"
0.1234,"2"
-0.008333,"2"
-0.019972,"2"
0.094419,"2"
0.29153,"2"
0.28748,"2"
0.031892,"2"
0.26028,"2"
0.14931,"2"
0.47244,"2"
0.11142,"2"
0.12767,"2"
0.050603,"2"
-0.036528,"2"
0.0071189,"2"
0.50436,"2"
0.55008,"2"
-0.019739,"2"
0.74704,"2"
-0.039113,"2"
-0.025311,"2"
0.12345,"2"
-0.019329,"2"
0.30005,"2"
-0.047346,"2"
0.15335,"2"
0.52882,"2"
0.35811,"2"
0.10162,"2"
0.12821,"2"
0.10411,"2"
0.35881,"2"
0.21955,"2"
0.056038,"2"
0.067582,"2"
0.39262,"2"
0.15656,"2"
-0.11529,"2"
0.085469,"2"
0.010924,"2"
-0.042398,"2"
0.041345,"2"
0.70972,"2"
0.18394,"2"
-0.072863,"2"
0.19301,"2"
0.52465,"2"
0.15435,"2"
0.32424,"2"
0.17186,"2"
0.16525,"2"
0.22184,"2"
-0.05703,"2"
0.1296,"2"
0.081325,"2"
0.42675,"2"
0.13798,"2"
0.074534,"2"
0.56902,"2"
0.00076251,"2"
0.21118,"2"
0.32984,"2"
0.23589,"2"
0.41012,"2"
-0.033341,"2"
0.24314,"2"
0.40027,"2"
-0.010921,"2"
-0.060526,"2"
0.58898,"2"
0.1646,"2"
0.039749,"2"
-0.020545,"2"
-0.058477,"2"
0.25725,"2"
0.27889,"2"
-0.019714,"2"
-0.080876,"2"
-0.12254,"2"
0.086598,"2"
0.31883,"2"
0.13663,"2"
0.35531,"2"
-0.081931,"2"
-0.055743,"2"
-0.0022581,"2"
0.18846,"2"
0.06829,"2"
0.022881,"2"
0.029292,"2"
0.23943,"2"
0.29228,"2"
0.16637,"2"
0.38761,"2"
0.48859,"2"
0.13729,"2"
0.2481,"2"
-0.034993,"2"
0.059838,"2"
0.17953,"2"
-0.024605,"2"
0.45544,"2"
-0.073955,"2"
0.64184,"2"
0.0023133,"2"
0.18463,"2"
-0.064778,"2"
0.19873,"2"
-0.11363,"2"
0.19347,"2"
-0.004833,"2"
-0.10784,"2"
-0.035392,"2"
0.14909,"2"
0.089045,"2"
0.1713,"2"
0.19017,"2"
0.044353,"2"
0.10668,"2"
0.32369,"2"
-0.057458,"2"
-0.031256,"2"
-0.016583,"2"
0.032729,"2"
0.052367,"2"
0.22226,"2"
0.48414,"2"
0.083739,"2"
0.30018,"2"
-0.047145,"2"
0.069208,"2"
0.059097,"2"
0.20665,"2"
0.14315,"2"
0.12267,"2"
0.23235,"2"
0.16747,"2"
0.22679,"2"
-0.037667,"2"
0.25629,"2"
-0.0030588,"2"
-0.041763,"2"
0.13863,"2"
0.0011671,"2"
0.14642,"2"
0.049556,"2"
0.082734,"2"
0.20665,"2"
0.5798,"2"
0.021862,"2"
0.18816,"2"
0.37374,"2"
-0.0094318,"2"
-0.013369,"2"
-0.064416,"2"
-0.018757,"2"
0.13454,"2"
0.13912,"2"
-0.064907,"2"
0.24065,"2"
0.04631,"2"
0.17706,"2"
0.60182,"2"
0.020565,"2"
0.17906,"2"
0.13831,"2"
0.048705,"2"
-0.11976,"2"
0.2532,"2"
0.093934,"2"
-0.024656,"2"
0.3696,"2"
0.11401,"2"
-0.049702,"2"
-0.014708,"2"
0.014818,"2"
0.11374,"2"
0.38847,"2"
0.47418,"2"
0.12074,"2"
0.030789,"2"
0.067371,"2"
0.0872,"2"
0.033442,"2"
0.070861,"2"
0.40784,"2"
0.010312,"2"
0.38303,"2"
0.42397,"2"
0.060433,"2"
0.019632,"2"
0.050175,"2"
-0.0072928,"2"
0.070312,"2"
0.084505,"2"
0.24418,"2"
-0.051362,"2"
-0.0094318,"2"
-0.034341,"2"
0.11293,"2"
0.33051,"2"
-0.078208,"2"
-0.14548,"2"
0.60671,"2"
0.26179,"2"
0.27961,"2"
0.066799,"2"
0.16254,"2"
-0.010931,"2"
0.041673,"2"
0.26311,"2"
0.19515,"2"
0.18496,"2"
0.26227,"2"
0.25525,"2"
0.16087,"2"
-0.024883,"2"
0.23766,"2"
0.24157,"2"
0.018937,"2"
0.094152,"2"
0.33165,"2"
-0.065293,"2"
0.017425,"2"
0.3606,"2"
-0.028479,"2"
0.3101,"2"
0.12351,"2"
-0.037974,"2"
-0.036089,"2"
0.5521,"2"
0.144,"2"
0.093708,"2"
-0.010644,"2"
0.43103,"2"
0.024679,"2"
0.16584,"2"
0.0064949,"2"
0.10844,"2"
0.37845,"2"
0.18872,"2"
0.10512,"2"
0.14145,"2"
-0.068309,"2"
0.23135,"2"
0.26889,"2"
-0.060386,"2"
-0.04143,"2"
0.040239,"2"
-0.014238,"2"
0.019676,"2"
0.19962,"2"
0.20319,"2"
-0.081906,"2"
0.27069,"2"
0.22465,"2"
-0.0045684,"2"
0.28092,"2"
0.044115,"2"
0.012976,"2"
0.0084973,"2"
0.10242,"2"
0.11566,"2"
-0.008937,"2"
0.071005,"2"
0.05824,"2"
0.12005,"2"
-0.019145,"2"
0.039369,"2"
0.37415,"2"
0.38356,"2"
0.39822,"2"
0.073149,"2"
0.23623,"2"
-0.002574,"2"
0.24665,"2"
-0.047346,"2"
-0.058477,"2"
0.11837,"2"
0.0904,"2"
0.22345,"2"
0.027752,"2"
0.022226,"2"
0.24816,"2"
0.11252,"2"
-0.017844,"2"
0.65134,"2"
0.41064,"2"
0.059756,"2"
0.012786,"2"
0.14293,"2"
0.15671,"2"
-0.044179,"2"
-0.038559,"2"
0.27842,"2"
0.1068,"2"
0.12374,"2"
0.026927,"2"
0.0017533,"2"
-0.072136,"2"
0.04333,"2"
0.24069,"2"
0.45742,"2"
-0.073388,"2"
0.052149,"2"
0.39446,"2"
0.24851,"2"
0.40122,"2"
-0.041417,"2"
-0.052561,"2"
0.04649,"2"
0.13983,"2"
0.40122,"2"
0.12082,"2"
0.2416,"2"
0.35245,"2"
0.10529,"2"
0.16772,"2"
0.024854,"2"
-0.042299,"2"
0.047918,"2"
-0.029662,"2"
-0.10468,"2"
0.34732,"2"
-0.048207,"2"
0.276,"2"
0.096228,"2"
-0.077255,"2"
0.49301,"2"
-0.068317,"2"
0.079243,"2"
0.12637,"2"
0.45661,"2"
0.24097,"2"
0.025318,"2"
0.10674,"2"
0.16057,"2"
-0.058793,"2"
-0.055384,"2"
-0.053318,"2"
0.0077908,"2"
0.092871,"2"
0.33655,"2"
0.03877,"2"
0.29203,"2"
0.62333,"2"
0.20158,"2"
-0.022571,"2"
0.028427,"2"
0.20102,"2"
0.15236,"2"
0.042403,"2"
0.61047,"2"
-0.05329,"2"
0.071774,"2"
0.014798,"2"
0.094422,"2"
0.26992,"2"
0.14822,"2"
0.228,"2"
0.00075401,"2"
-0.062479,"2"
0.14766,"2"
0.32219,"2"
0.19631,"2"
0.31788,"2"
0.12982,"2"
-0.0083351,"2"
0.47603,"2"
0.10982,"2"
0.047381,"2"
0.51103,"2"
0.065002,"2"
-0.055687,"2"
0.15026,"2"
0.23128,"2"
0.25642,"2"
0.28549,"2"
-0.023223,"2"
0.039148,"2"
0.04778,"2"
0.11605,"2"
0.16309,"2"
0.068298,"2"
0.0025872,"2"
-0.041808,"2"
0.22269,"2"
0.44634,"2"
-0.088439,"2"
0.41734,"2"
-0.01588,"2"
0.087995,"2"
0.013124,"2"
0.16744,"2"
-0.023461,"2"
-0.093841,"2"
0.11746,"2"
0.13264,"2"
0.073877,"2"
0.47069,"2"
-0.068683,"2"
0.070189,"2"
-0.035073,"2"
-0.021965,"2"
-0.0097714,"2"
0.050364,"2"
0.42937,"2"
0.22069,"2"
0.079953,"2"
0.057586,"2"
-0.022944,"2"
0.019757,"2"
0.035667,"2"
-0.068526,"2"
0.61868,"2"
0.083898,"2"
-0.046793,"2"
0.0048048,"2"
0.14457,"2"
-0.078513,"2"
-0.041926,"2"
0.30794,"2"
0.11796,"2"
0.079612,"2"
0.34088,"2"
0.12094,"2"
0.11464,"2"
-0.0097993,"2"
